"","time","used","buff","cach","read","writ","qntReads","qntCPU","tamArq","cpu.usage"
"1",86,1128902797.24138,13389070.7126437,162926403.678161,288028.943931034,467189.372333333,-0.630877192982456,-0.428095238095238,5.2,-0.0411256274170689
"2",85,1132625824.74419,14645200.372093,165816558.139535,1202.26909302326,391465.030546512,-0.630877192982456,-0.428095238095238,5.2,0.126002912731738
"3",84,1127342754.63529,15680499.9529412,165801935.811765,909.354129411765,395870.692270588,-0.630877192982456,-0.428095238095238,5.2,0.148621871321296
"4",83,1160020065.52381,16601429.3333333,166057057.52381,735.22255952381,400274.995357143,-0.630877192982456,-0.428095238095238,5.2,0.152861437268003
"5",83,1138591305.14286,17557308.952381,166151119.238095,612.3145,401208.4105,-0.630877192982456,-0.428095238095238,5.2,0.163633340496552
"6",84,1145492805.27059,18467321.9764706,166247387.858824,518.316305882353,398978.817717647,-0.630877192982456,-0.428095238095238,5.2,0.162116853398811
"7",84,1139186989.17647,19260500.3294118,166485678.682353,453.052788235294,397231.645082353,-0.630877192982456,-0.428095238095238,5.2,0.155829592633151
"8",84,1139112201.03529,20125045.4588235,166634724.894118,402.790105882353,483734.2014,-0.630877192982456,-0.428095238095238,5.2,0.168310118571623
"9",85,1125229353.67442,20931512.5581395,166983870.511628,358.07726744186,395480.031116279,-0.630877192982456,-0.428095238095238,5.2,0.164367566130082
"10",85,1141221995.16279,21709895.4418605,166896378.046512,325.343593023256,391638.074046512,-0.630877192982456,-0.428095238095238,5.2,0.150464516880651
"11",85,1114096139.90698,22424933.2093023,167218818.976744,345.634220930233,474657.239627907,-0.630877192982456,-0.428095238095238,5.2,0.172609749016803
"12",84,1138108632.84706,23240077.5529412,167270809.6,278.298329411765,400550.274741176,-0.630877192982456,-0.428095238095238,5.2,0.170710835639171
"13",86,1116726283.77011,23963483.2183908,167552623.816092,252.363091954023,390653.68883908,-0.630877192982456,-0.428095238095238,5.2,0.166322325864079
"14",84,1189366073.22353,24657004.4235294,167471031.717647,240.934764705882,397562.654847059,-0.630877192982456,-0.428095238095238,5.2,0.170320231731138
"15",86,1133521437.42529,25336349.4252874,167765804.137931,220.636655172414,389955.442793103,-0.630877192982456,-0.428095238095238,5.2,0.177215290648691
"16",83,1143052531.80952,26016085.3333333,167778645.333333,214.855845238095,400977.784392857,-0.630877192982456,-0.428095238095238,5.2,0.176728857882193
"17",84,1151555222.58824,26678404.5176471,168224551.152941,200.504141176471,397003.947694118,-0.630877192982456,-0.428095238095238,5.2,0.181350440485241
"18",85,1172740477.02326,27268167.4418605,168108746.418605,187.694790697674,396358.956034884,-0.630877192982456,-0.428095238095238,5.2,0.149415749516586
"19",85,1145460069.2093,27866945.4883721,168264489.674419,178.28323255814,392250.055453488,-0.630877192982456,-0.428095238095238,5.2,0.162808178435224
"20",84,1177456543.62353,28424553.4117647,168387186.447059,171.760658823529,396445.401635294,-0.630877192982456,-0.428095238095238,5.2,0.17880072299645
"21",85,1138157568,28982295.8139535,168618174.511628,162.00923255814,392675.750488372,-0.630877192982456,-0.428095238095238,5.2,0.182125041892712
"22",86,1145832789.33333,29561867.7701149,168841498.482759,153.10032183908,388700.66954023,-0.630877192982456,-0.428095238095238,5.2,0.170283465809175
"23",84,1152345798.77647,30110274.2588235,168873646.682353,150.094882352941,396746.430729412,-0.630877192982456,-0.428095238095238,5.2,0.177381041412711
"24",85,1141912123.53488,30626077.7674419,169035728.372093,142.41138372093,392904.046418605,-0.630877192982456,-0.428095238095238,5.2,0.182411319598387
"25",85,1195733706.4186,31162653.7674419,169210808.55814,136.88861627907,393387.742790698,-0.630877192982456,-0.428095238095238,5.2,0.184497843645529
"26",85,1189863757.39535,31637027.7209302,169343499.906977,131.783,393918.726174419,-0.630877192982456,-0.428095238095238,5.2,0.180568406868101
"27",86,1152948200.45977,32144607.6321839,169556462.344828,125.556793103448,388408.08854023,-0.630877192982456,-0.428095238095238,5.2,0.167305298081262
"28",85,1131847775.25581,32612066.2325581,169705186.232558,122.602209302326,393882.643848837,-0.630877192982456,-0.428095238095238,5.2,0.179008331005686
"29",86,1172707445.70115,33134333.0574713,169847325.425287,117.129172413793,475765.736068966,-0.630877192982456,-0.428095238095238,5.2,0.178979878836492
