"","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read.1","writ.1","recv","send","int","csw","X1m","X5m","X15m","run","blk","new","programa","qntReads","qntCPU","tamArq"
"1",86,80.4833793103448,12.3828620689655,5.80354022988506,1.31318390804598,0,0.0171724137931034,1128902797.24138,13389070.7126437,162926403.678161,7066653472.36782,288028.943931034,467189.372333333,12.5334597701149,5.2436091954023,497.114942528736,175.528735632184,577.254563218391,1030.33040229885,1.14218390804598,0.345402298850575,0.182873563218391,2.37931034482759,0.0115057471264368,90.0424827586207,"Trinity",50000,2,5.2
"2",85,83.1103604651163,12.5798372093023,4.25340697674419,0.0447674418604651,0,0.0116744186046512,1132625824.74419,14645200.372093,165816558.139535,7058784160.74419,1202.26909302326,391465.030546512,0.0592906976744186,4.07246511627907,444.383720930233,76.5697674418605,554.963453488372,1025.07337209302,2.48744186046512,2.04848837209302,1.08127906976744,2.40698837209302,0,91.4377558139535,"Trinity",50000,2,5.2
"3",84,83.4562,12.6161882352941,3.87162352941176,0.0501764705882353,0,0.00590588235294118,1127342754.63529,15680499.9529412,165801935.811765,7063046553.6,909.354129411765,395870.692270588,0.0448470588235294,3.94930588235294,441.764705882353,61.8235294117647,550.966223529412,1017.06054117647,2.40176470588235,2.43152941176471,1.64094117647059,2.30589411764706,0.0117647058823529,91.7172470588235,"Trinity",50000,2,5.2
"4",83,83.5612619047619,12.5827619047619,3.77003571428571,0.0621666666666667,0,0.0238452380952381,1160020065.52381,16601429.3333333,166057057.52381,7029193191.61905,735.22255952381,400274.995357143,0.0362619047619048,4.13046428571429,398.238095238095,54.5,569.353797619048,1030.82326190476,2.56607142857143,2.5352380952381,1.98583333333333,2.42857142857143,0.0119047619047619,93.2711547619048,"Trinity",50000,2,5.2
"5",83,83.081619047619,13.2444166666667,3.60035714285714,0.0618214285714286,0,0.011952380952381,1138591305.14286,17557308.952381,166151119.238095,7049572010.66667,612.3145,401208.4105,0.0301904761904762,4.04940476190476,391.595238095238,51.8571428571429,572.757583333333,1012.2864047619,2.57952380952381,2.51107142857143,2.16761904761905,2.28571428571429,0,93.2059047619048,"Trinity",50000,2,5.2
"6",84,83.3910470588235,12.9093647058824,3.62710588235294,0.0607647058823529,0,0.0118,1145492805.27059,18467321.9764706,166247387.858824,7041664228.89412,518.316305882353,398978.817717647,0.0255647058823529,4.40345882352941,394.964705882353,58.3882352941176,566.9084,1027.5442,2.86011764705882,2.80129411764706,2.42270588235294,2.28235294117647,0,92.7874,"Trinity",50000,2,5.2
"7",84,83.2768588235294,12.9173176470588,3.74521176470588,0.0488823529411765,0,0.0118352941176471,1139186989.17647,19260500.3294118,166485678.682353,7046938575.81176,453.052788235294,397231.645082353,0.0223411764705882,4.16967058823529,389.552941176471,51.4117647058824,566.439141176471,1032.49255294118,2.58023529411765,2.57129411764706,2.44529411764706,2.30588235294118,0,93.3338,"Trinity",50000,2,5.2
"8",84,83.7721647058823,12.6328941176471,3.54608235294118,0.0488235294117647,0,9.41176470588235e-05,1139112201.03529,20125045.4588235,166634724.894118,7045999772.61176,402.790105882353,483734.2014,0.0198705882352941,4.88844705882353,392.611764705882,56.6352941176471,555.399011764706,1023.92675294118,2.67435294117647,2.60717647058824,2.49670588235294,2.36470588235294,0.0117647058823529,91.8357882352941,"Trinity",50000,2,5.2
"9",85,83.4270813953488,12.9113604651163,3.60195348837209,0.0538139534883721,0,0.0058953488372093,1125229353.67442,20931512.5581395,166983870.511628,7058727007.25581,358.07726744186,395480.031116279,0.0176627906976744,4.58844186046512,382.476744186047,46.3255813953488,552.854220930233,1016.17923255814,2.63976744186047,2.58988372093023,2.52523255813953,2.43023255813953,0,91.6182441860465,"Trinity",50000,2,5.2
"10",85,83.2059069767442,12.8976162790698,3.81379069767442,0.071093023255814,0,0.0116860465116279,1141221995.16279,21709895.4418605,166896378.046512,7042043475.34884,325.343593023256,391638.074046512,0.016046511627907,4.37996511627907,437.732558139535,64.9069767441861,553.397953488372,1006.04336046512,2.5343023255814,2.6306976744186,2.57011627906977,2.40697674418605,0,91.010511627907,"Trinity",50000,2,5.2
