"","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","read","writ","read.1","writ.1","recv","send","int","csw","X1m","X5m","X15m","run","blk","new","programa","qntReads","qntCPU","tamArq"
"1",2308,89.4168319618883,9.86610697271546,0.0389705500216544,0.639269813772196,0,0.0388142052836726,367110079.251624,13065741.5262018,3639928894.97445,2237989364.24773,904604.254995236,1621496.06395019,7.00115028150715,8.23023473365093,87.5335643135557,32.0645300996102,266.813023819835,79181.7297821568,1.3530489389346,1.23029883066262,0.91328713728887,1.17799913382417,0.0246873105240364,0.310477262884366,"TopHat",9153141,1,1945
"2",2344,89.9571117270789,9.68161151385928,0.00345799573560768,0.325017910447761,0,0.0327961620469083,397298353.071215,16884022.9117271,5255496459.02601,588415244.991045,394164.713326226,1597127.85289638,3.07958720682303,9.22281066098081,86.5773987206823,27.9475479744136,264.617733049041,77999.8953270789,1.34768017057569,1.33815778251599,1.3080170575693,1.14968017057569,0.0183368869936034,0.29676460554371,"TopHat",9153141,1,1945
"3",2372,89.6606434892541,10.0605145385588,0.00177412557943531,0.244674252001686,0,0.0323914875684787,395956405.238938,10365826.4273072,5230531190.02107,621240658.312684,387642.007530973,1578490.19480236,3.06147745469869,8.96082300884956,87.7197640117994,28.3442899283607,263.48605899705,77075.5710484619,1.35325326590813,1.35144542772861,1.32707121786768,1.16477033291193,0.0168563000421408,0.299883691529709,"TopHat",9153141,1,1945
"4",2868,88.8551369815267,10.7725416521436,0.00098710352039038,0.341454862321366,0,0.0298759149529453,392658057.413733,11400412.9327292,5198334999.19972,655700610.453817,436589.27097839,1307018.20681004,3.44483966538864,7.7930230045312,85.0826071802022,27.4684559079819,263.69954025793,63776.4856256535,1.32250958522133,1.32185430463576,1.3064586964099,1.17113976995469,0.0205646566747996,0.288784593935169,"TopHat",9153141,1,1945
"5",2681,88.0039187173751,11.5101648023863,0.000759134973900075,0.459483967188665,0,0.025668903803132,388700459.334825,11761830.4668158,5183228372.85608,674403417.342282,438034.522944817,1383335.22773154,3.67184265473527,8.10811670395228,86.3605518269948,27.479120059657,263.941961595824,68219.7793422819,1.31990678598061,1.32252050708427,1.3106711409396,1.15734526472782,0.017151379567487,0.294728187919463,"TopHat",9153141,1,1945
"6",2440,89.2446079475625,10.2677660794756,0.000663662433428923,0.459608357230643,0,0.0273510856206473,391832696.396559,11569322.3170832,5222831165.66653,631860895.619828,498818.82861696,1534534.71441745,4.12116714461286,9.0630708725932,86.4248258910283,27.5092175337976,264.366723064318,74957.4714043425,1.33260958623515,1.3317492830807,1.3103359278984,1.1716509627202,0.0176157312576813,0.299233920524375,"TopHat",9153141,1,1945
"7",2402,89.4509026217228,9.94721972534332,0.000565959217644611,0.570595505617978,0,0.0307082813150229,393929627.85851,10974189.676238,5220576685.11694,632613577.348315,492189.680457345,1555158.75549147,4.2949467332501,8.88557761131919,88.0195588847274,29.4419475655431,264.16052309613,76131.0036446109,1.3317519766958,1.33188930503537,1.31091968372867,1.15230961298377,0.0166458593424886,0.297715771951727,"TopHat",9153141,1,1945
"8",2456,89.014897028897,10.242102971103,0.000477818477818478,0.711238095238095,0,0.0312787952787953,390963463.397639,11801497.8917379,5201644932.84493,653684185.86569,504513.044828246,1524890.59152707,4.51273015873016,8.88607773707774,90.007326007326,33.4045584045584,265.148206756207,74469.1147464387,1.34121286121286,1.34180708180708,1.3266218966219,1.15710215710216,0.0187220187220187,0.30052787952788,"TopHat",9153141,1,1945
"9",2500,89.5113258696521,9.6963274690124,0.000411835265893643,0.766365453818473,0,0.025562974810076,395272403.269092,11580679.267493,5205169890.21351,646071107.2499,466049.93162415,1493745.91716074,4.41015953618553,8.67298240703719,86.3494602159136,27.3226709316273,264.501219112355,73159.1688752499,1.33369452219112,1.33666133546581,1.31448220711715,1.15593762495002,0.0207916833266693,0.296836465413834,"TopHat",9153141,1,1945
"10",2524,89.6592411881188,9.68116475247525,0.000362772277227723,0.625200792079208,0,0.0340213861386139,395806448.285149,11435851.9382178,5219939397.34812,630912382.428515,491436.290524356,1476974.3367695,4.73815128712871,8.62580118811881,86.1782178217822,27.6194059405941,265.021715247525,72459.0576186139,1.34421782178218,1.34652277227723,1.32305742574257,1.1560396039604,0.0205940594059406,0.29876396039604,"TopHat",9153141,1,1945
